full_text,id_str,created_at,username,user_id_str,lang,location,quote_count,reply_count,retweet_count,favorite_count,tweet_url,mentions,mention_count,source,target
Kemajuan ekonomi dalam 100 hari Prabowo membuktikan kerja nyata. Dampaknya nyata terasa #100HariKerjaNyata,1.88402966723521E+018,2025-01-28 00:04:10+00:00,hesti_wastt,1.71158232483045E+018,in,,0,0,0,0,https://x.com/hesti_wastt/status/1884029667235225850,,0,hesti_wastt,
Kerja cerdas Prabowo selama 100 hari sukses dukung pertumbuhan ekonomi #100HariKerjaNyata,1.88403442599193E+018,2025-01-28 00:23:05+00:00,nadine_halimah,1.69896888413159E+018,in,,0,0,0,0,https://x.com/nadine_halimah/status/1884034425991930211,,0,nadine_halimah,
Kinerja 100 hari Prabowo bawa angin segar optimisme Indonesia lebih maju #100HariKerjaNyata,1.88403609495156E+018,2025-01-28 00:29:43+00:00,shania_usamah,1.71012908907047E+018,in,,0,0,0,0,https://x.com/shania_usamah/status/1884036094951579716,,0,shania_usamah,
Prabowo pacu pencapaian ekonomi Indonesia dengan efektif dalam 100 hari ini #100HariKerjaNyata,1.8840410704531E+018,2025-01-28 00:49:29+00:00,umaya_laksita,1.69933323637432E+018,in,,0,0,0,0,https://x.com/umaya_laksita/status/1884041070453100938,,0,umaya_laksita,
Dampak signifikan dari 100 hari Prabowo bagi kestabilan ekonomi kita #100HariKerjaNyata,1.88404195311919E+018,2025-01-28 00:53:00+00:00,raina_nur89,1.69930690013818E+018,in,,0,0,0,0,https://x.com/raina_nur89/status/1884041953119199727,,0,raina_nur89,
Optimisme terasa berkat perubahan Prabowo dalam 100 hari penuh dedikasi #100HariKerjaNyata,1.88404482237965E+018,2025-01-28 01:04:24+00:00,ranti_anjani6,1.70947316284356E+018,in,,0,0,0,0,https://x.com/ranti_anjani6/status/1884044822379651179,,0,ranti_anjani6,
Optimisme menular dari kinerja 100 hari Prabowo yang berdampak nyata #100HariKerjaNyata,1.88405431783934E+018,2025-01-28 01:42:08+00:00,indra_mahen4,1.84350430986833E+018,in,,0,0,0,0,https://x.com/indra_mahen4/status/1884054317839347829,,0,indra_mahen4,
Dengan strategi yang matang 100 hari Prabowo kontribusi bagi pertumbuhan ekonomi #100HariKerjaNyata,1.88405458017212E+018,2025-01-28 01:43:10+00:00,martaka_kusuma,1.70942782627192E+018,in,,0,0,0,0,https://x.com/martaka_kusuma/status/1884054580172120533,,0,martaka_kusuma,
Prabowo kunci keberhasilan ekonomi di 100 hari pertamanya #100HariKerjaNyata,1.88405478281564E+018,2025-01-28 01:43:58+00:00,hazmah_harim,1.68665648883894E+018,in,,0,0,0,0,https://x.com/hazmah_harim/status/1884054782815641735,,0,hazmah_harim,
Kepemimpinan Prabowo hadirkan stabilitas dan pertumbuhan ekonomi nyata dalam 100 hari ini #100HariKerjaNyata,1.88405578520816E+018,2025-01-28 01:47:57+00:00,feni_iskandar4,1.70871687670727E+018,in,,0,0,0,0,https://x.com/feni_iskandar4/status/1884055785208176932,,0,feni_iskandar4,
Prabowo 100 hari mendorong ekonomi bangsa menuju era baru yang lebih maju #100HariKerjaNyata,1.88405616564415E+018,2025-01-28 01:49:28+00:00,jinawi_kuswoyo,1.70188468556624E+018,in,,0,0,0,0,https://x.com/jinawi_kuswoyo/status/1884056165644153254,,0,jinawi_kuswoyo,
@Jateng_Twit Kerusakan sistemik di institusi hendak dipoles dengan (citra) kabaikan-kebaikan individu. Tapi cara ini dimakan masyarakat Indonesia. Kebijakan ekonomi politik menghasilkan kemiskinan struktural lalu solusinya dikasih bansos makan gratis dan bagi-bagi kaos. Dan dipilih.,1.88406407587082E+018,2025-01-28 02:20:54+00:00,Dandhy_Laksono,159919812,in,,7,33,340,1099,https://x.com/Dandhy_Laksono/status/1884064075870822694,Jateng_Twit,1,Dandhy_Laksono,Jateng_Twit
Keberhasilan Prabowo dalam 100 hari jadi momentum percepatan pembangunan ekonomi #100HariKerjaNyata,1.88407948419605E+018,2025-01-28 03:22:08+00:00,gibran_raihan21,1.6822416135135E+018,in,,0,0,0,0,https://x.com/gibran_raihan21/status/1884079484196069541,,0,gibran_raihan21,
Program pemerintah Prabowo selama 100 hari terakhir telah merangsang pertumbuhan ekonomi yang lebih inklusif #100HariKerjaNyata,1.88408198648418E+018,2025-01-28 03:32:04+00:00,salsa_hanifah15,1.68875424933177E+018,in,,0,0,0,0,https://x.com/salsa_hanifah15/status/1884081986484199484,,0,salsa_hanifah15,
Kemajuan signifikan di sektor ekonomi maritim menjadi hasil lain dari kinerja 100 hari Prabowo yang inspiratif #100HariKerjaNyata,1.88408287076511E+018,2025-01-28 03:35:35+00:00,alii_mhmmd157,1.49125592986173E+018,in,,0,0,0,0,https://x.com/alii_mhmmd157/status/1884082870765117831,,0,alii_mhmmd157,
100 hari Prabowo memperkuat strategi diplomasi ekonomi yang membuka banyak peluang investasi #100HariKerjaNyata,1.88408369705139E+018,2025-01-28 03:38:52+00:00,angle_mahni,1.69093040832482E+018,in,,0,0,0,0,https://x.com/angle_mahni/status/1884083697051402702,,0,angle_mahni,
@GenZNusantara Kini energi dan ekonomi merata! Langkah Prabowo-Gibran bukti Indonesia lebih berdaya saing,1.88408489043572E+018,2025-01-28 03:43:37+00:00,aldy_wijaya09,1.69944409961358E+018,in,,0,0,0,0,https://x.com/aldy_wijaya09/status/1884084890435739774,GenZNusantara,1,aldy_wijaya09,GenZNusantara
Selama 100 hari Prabowo fokus pada pertumbuhan ekonomi yang berkelanjutan #100HariKerjaNyata,1.88408551812172E+018,2025-01-28 03:46:06+00:00,nova_astari12,1.84174689666432E+018,in,,0,0,0,0,https://x.com/nova_astari12/status/1884085518121722206,,0,nova_astari12,
100 hari Prabowo penuh dengan langkah strategis untuk memperkuat ekonomi kreatif sebagai tulang punggung negara #100HariKerjaNyata,1.88408663176395E+018,2025-01-28 03:50:32+00:00,AliyaSanta,1.54290041170245E+018,in,,0,0,0,0,https://x.com/AliyaSanta/status/1884086631763959894,,0,AliyaSanta,
100 hari kepemimpinan Prabowo telah membangkitkan optimisme baru terhadap kestabilan politik dan pertumbuhan ekonomi #100HariKerjaNyata,1.88408728400758E+018,2025-01-28 03:53:07+00:00,zeky_arijal,1.69347429477139E+018,in,,0,0,0,0,https://x.com/zeky_arijal/status/1884087284007596513,,0,zeky_arijal,
100 hari Prabowo menghadirkan solusi inovatif untuk berbagai tantangan sosial dan ekonomi #100HariKerjaNyata,1.8840885079936E+018,2025-01-28 03:57:59+00:00,suryarahmat_,1.84319904128869E+018,in,,0,0,0,0,https://x.com/suryarahmat_/status/1884088507993604551,,0,suryarahmat_,
100 hari kepemimpinan Prabowo makin membuktikan komitmennya mengangkat ekonomi dan kesejahteraan masyarakat Indonesia #100HariKerjaNyata,1.88408994377513E+018,2025-01-28 04:03:41+00:00,hendra_kusu2001,1.81270257832684E+018,in,,0,0,0,0,https://x.com/hendra_kusu2001/status/1884089943775130080,,0,hendra_kusu2001,
100 hari masanya Prabowo mendefinisikan ulang peran strategis UMKM terhadap pertumbuhan ekonomi #100HariKerjaNyata,1.88409046193951E+018,2025-01-28 04:05:45+00:00,SalmaAfifa27529,1.81600036659044E+018,in,,0,0,0,0,https://x.com/SalmaAfifa27529/status/1884090461939515894,,0,SalmaAfifa27529,
Dalam 100 hari Prabowo memperkokoh fondasi ekonomi kreatif yang jadi penggerak ekonomi baru #100HariKerjaNyata,1.88409509715288E+018,2025-01-28 04:24:10+00:00,halidd_hamdan,1.69170905213554E+018,in,,0,0,0,0,https://x.com/halidd_hamdan/status/1884095097152889198,,0,halidd_hamdan,
@GenZNusantara Di 100 hari pertama pemerintahan ini serius bangun ekonomi yang adil buat semuanya,1.88410519298528E+018,2025-01-28 05:04:17+00:00,daniel_jayadi12,1.69898509874036E+018,in,,0,0,0,0,https://x.com/daniel_jayadi12/status/1884105192985289097,GenZNusantara,1,daniel_jayadi12,GenZNusantara
$BREN $BMRI masih jadi penekan terbesar IHSG masing mencapai 14 3 dan 11 2 indeks poin. wait and see fokus kebijakan moneter diarahkan untuk memperkuat stabilitas nilai tukar Rupiah dari dampak makin tingginya ketidakpastian perekonomian global akibat arah kebijakan AS,1.88411219818592E+018,2025-01-28 05:32:07+00:00,Xsvsh404,8.72164067661586E+017,in,AnonWorld,0,0,0,0,https://x.com/Xsvsh404/status/1884112198185935311,,0,Xsvsh404,
@gg_02022020 gue malah pusing mikirin kebijakan moneter diarahkan untuk memperkuat stabilitas nilai tukar Rupiah dari dampak makin tingginya ketidakpastian perekonomian global akibat arah kebijakan USA,1.88411333511493E+018,2025-01-28 05:36:38+00:00,Xsvsh404,8.72164067661586E+017,in,AnonWorld,0,0,0,0,https://x.com/Xsvsh404/status/1884113335114949011,gg_02022020,1,Xsvsh404,gg_02022020
100 Hari Prabowo-Gibran: Rupiah dan IHSG Jeblok Investor Asing Kabur capital outflow keluar makin deras ‍️‍️,1.88411538062247E+018,2025-01-28 05:44:46+00:00,Xsvsh404,8.72164067661586E+017,in,AnonWorld,0,0,0,0,https://x.com/Xsvsh404/status/1884115380622483967,,0,Xsvsh404,
Mahathir: Reformasi ekonomi tapi isu underemployment tidak menjadi fokus utama dalam kenyataan awam. Tapi ada tekanan berkenaan dengan kualiti pekerjaan dan menangani pengangguran belia yang berkait rapat dengan underemployment.,1.88412214390412E+018,2025-01-28 06:11:39+00:00,fxwxb,106659329,in,Kuala Lumpur,0,1,0,1,https://x.com/fxwxb/status/1884122143904129314,,0,fxwxb,
Dalam 100 hari Prabowo dan Gibran bawa banyak perbaikan dari ekonomi sampai pendidikan #100HariKerjaNyata,1.88415245618948E+018,2025-01-28 08:12:06+00:00,clarinta_dala,1.69239320336078E+018,in,,0,0,0,0,https://x.com/clarinta_dala/status/1884152456189497621,,0,clarinta_dala,
@GenZNusantara Pangkas ketimpangan ekonomi dengan langkah nyata Prabowo-Gibran. Dari pangan energi hingga pendidikan,1.88415817054698E+018,2025-01-28 08:34:48+00:00,maryanto_huta,1.70109470929545E+018,in,,0,0,0,0,https://x.com/maryanto_huta/status/1884158170546987110,GenZNusantara,1,maryanto_huta,GenZNusantara
Dalam 100 hari Prabowo Gibran berhasil mendorong roda ekonomi dan inklusi sosial #100HariKerjaNyata,1.88416614881373E+018,2025-01-28 09:06:30+00:00,gesi_ruhma25,1.70217145369169E+018,in,,0,0,0,0,https://x.com/gesi_ruhma25/status/1884166148813738330,,0,gesi_ruhma25,
@AraituLaki @prabowo Akibat kebijakan pemimpin yang sembrono memberikan ruang untuk para investor tanpa melalui proses kajian. Udah pasir nya bisa dijual dengan alasan sedimen laut di shm kan alasan dulunya tanah adat.. Wesss uedaaaan,1.88416825489951E+018,2025-01-28 09:14:52+00:00,its__Arthur19,1.24011561585712E+018,in,Jakarta ,1,0,1,15,https://x.com/its__Arthur19/status/1884168254899511410,"AraituLaki,prabowo",2,its__Arthur19,AraituLaki
Presiden Prabowo sudah mengunjungi 9 negara lain dalam 100 hari kerja. Kunjungan² ini tentu nya memberikan manfaat bagi negara seperti menarik investor luar negeri. Berikut 9 negara tersebut : 1. China 2. AS 3. Peru 4. Brazil 5. Inggris 6. UEA 7. Mesir 8. Malaysia 9. India,1.8842034184259E+018,2025-01-28 11:34:36+00:00,99propaganda,1.4270953350845E+018,in,,0,1,1,5,https://x.com/99propaganda/status/1884203418425909670,,0,99propaganda,
@GenZNusantara Serius menata ekonomi Prabowo-Gibran buktikan kalau semua orang bisa dapat manfaatnya merata!,1.88426441605056E+018,2025-01-28 15:36:59+00:00,panca_saptono,1.70113170872745E+018,in,,0,0,0,0,https://x.com/panca_saptono/status/1884264416050569652,GenZNusantara,1,panca_saptono,GenZNusantara
