Tanggal,Open,High,Low,Close,Volume
03/02/2025,6270.60,6682.94,6347.10,6636.00,"103,754.00"
10/02/2025,6742.58,6713.95,6500.46,6638.46,"77,248.00"
17/02/2025,6638.46,6908.70,6658.22,6803.00,"91,914.00"
24/02/2025,6803.00,6818.79,6246.28,6270.60,"111,787.00"
03/03/2025,6270.60,6682.94,6347.10,6636.00,"99,413.00"
10/03/2025,6636.00,6707.39,6499.04,6515.63,"86,554.00"
17/03/2025,6515.63,6557.41,6011.84,6258.18,"102,676.00"
24/03/2025,6258.18,6510.62,5967.19,6510.62,"75,074.00"
31/03/2025,6258.18,6510.62,5967.19,6510.62,"75,074.00"
08/04/2025,6510.62,6310.83,5882.61,6262.23,"75,611.00"
14/04/2025,6262.23,6497.53,6225.34,6438.27,"90,147.00"
21/04/2025,6438.27,6697.90,6406.80,6678.92,"91,169.00"
28/04/2025,6678.92,6818.28,6688.78,6815.73,"83,481.00"
05/05/2025,6815.73,6970.50,6811.77,6832.80,"122,603.00"
